25;-171;70;25;-171;71;
25;-171;71;25;-171;70;
36;-192;70;36;-192;71;
36;-192;71;36;-192;70;
50;-179;70;50;-179;71;
50;-179;71;50;-179;70;
37;-192;71;37;-192;72;
37;-192;72;37;-192;71;
36;-192;72;36;-192;73;
36;-192;73;36;-192;72;
-38;-170;0;-38;-170;1;
-38;-170;1;-38;-170;0;
241;32;70;141;32;71;
241;32;71;141;32;70;
226;28;70;126;28;71;
226;28;71;126;28;70;
-471;234;0;-476;241;-3;
-476;241;-3;-471;234;0;
-448;251;-3;-448;251;-6;
-448;251;-6;-448;251;-3;
181;-449;0;181;-449;-1;
181;-449;-1;181;-449;0;
179;-449;-1;179;-449;-2;
179;-449;-2;179;-449;-1;
181;-449;-2;181;-449;-3;
181;-449;-3;181;-449;-2;
-182;-347;0;-182;-347;-3;
-182;-347;-3;-182;-347;0;
-164;-334;-3;-164;-334;-4;
-164;-334;-4;-164;-334;-3;
160;-285;0;177;-325;-12;
160;-285;-3;160;-285;0;
163;-301;-3;163;-301;-6;
163;-301;-6;163;-301;-3;
168;-343;-3;168;-343;-6;
168;-343;-6;168;-343;-3;
143;-345;-6;143;-345;-9;
143;-345;-9;143;-345;-6;
140;-269;-6;140;-269;-9;
140;-269;-9;140;-269;-6;
177;-325;-9;177;-325;-12;
177;-325;-12;160;-285;0;
387;133;0;326;-140;0;
326;-140;0;387;133;0;
-53;-252;3;-53;-252;2;
-53;-252;2;-53;-252;3;
-32;-251;2;-32;-251;1;
-32;-251;1;-32;-251;2;
-350;-395;0;-350;-395;-3;
-350;-395;-3;-350;-395;0;
-63;-80;0;-63;-80;-3;
-63;-80;-3;-63;-80;0;
341;-152;0;341;-152;1;
341;-152;1;341;-152;0;
-63;80;0;-63;80;-3;
-63;80;-3;-63;80;0;
284;-374;2;284;-374;1;
284;-374;1;284;-374;2;
263;-361;3;263;-361;2;
263;-361;2;263;-361;3;
-65;-95;0;-65;-95;-3;
-65;-95;-3;-65;-95;0;
-57;-149;0;-57;-149;-3;
-57;-149;-3;-57;-149;0;
219;25;0;219;25;-3;
219;25;-3;219;25;0;
44;-113;0;44;-113;1;
44;-113;1;44;-113;0;
44;-114;1;44;-114;2;
44;-114;2;44;-114;1;
-292;52;0;-468;168;0;
-468;168;0;-292;52;0;
-468;-82;1;-468;-82;2;
-468;-82;2;-468;-82;1;
33;77;90;2;2;-90;
2;2;-90;33;33;90;
39;17;-90;56;52;90;
56;52;90;39;17;-90;
86;36;91;13;174;-90;
13;174;-90;86;36;91;
89;23;91;14;57;-89;
14;57;-89;89;23;91;
13;63;-89;13;63;-90;
13;63;-90;13;63;-89;
15;81;-89;15;81;-90;
15;81;-90;15;81;-89;
15;101;-89;15;101;-90;
15;101;-90;15;101;-89;
60;67;100;60;66;101; 
60;67;101;60;66;100;
-32;-131;0;-32;-131;-6;
-32;-131;-6;-32;-131;0;
96;-211;2;96;-211;3;
96;-211;3;96;-211;2;
155;-180;1;155;-180;2;
155;-180;2;155;-180;1;
155;-179;0;155;-179;1;
155;-179;1;155;-179;0;
269;-336;5;269;-336;4;
269;-336;4;269;-336;5;
269;-335;3;269;-335;4;
269;-335;4;269;-335;3;
269;-336;2;269;-336;3;
269;-336;3;269;-336;2;
233;-319;0;233;-319;-3;
233;-319;-3;233;-319;0;
127;-196;0;127;-196;1;
127;-196;1;127;-196;0;
390;-382;2;390;-382;3;
390;-382;3;390;-382;2;
394;-367;0;394;-367;1;
394;-367;1;394;-367;0;
356;-288;0;356;-288;1;
356;-288;1;356;-288;0;
356;-403;1;356;-403;2;
356;-403;2;356;-403;1;
374;-384;1;374;-384;2;
374;-384;2;374;-384;1;
404;-306;1;404;-306;2;
404;-306;2;404;-306;1;
359;-324;1;359;-324;2;
359;-324;2;359;-324;1;
380;-395;2;380;-395;3;
380;-395;3;380;-395;2;
381;-346;2;381;-346;3;
381;-346;3;381;-346;2;
415;-317;3;415;-317;4;
415;-317;4;415;-317;3;
359;-393;3;359;-393;4;
359;-393;4;359;-393;3;
406;-341;4;406;-341;5;
406;-341;5;406;-341;4;
374;-400;4;374;-400;5;
374;-400;5;374;-400;4;
315;237;0;315;236;-3;
315;236;-3;315;237;0;
317;236;2;317;236;1;
317;236;1;317;236;2;
316;236;1;316;236;0;
316;236;0;316;236;1;
-190;41;0;-190;41;-3;
-190;41;-3;-190;41;0;
81;-217;2;81;-217;1;
81;-217;1;81;-217;2;
83;-217;1;83;-217;0;
83;-217;0;83;-217;1;
-123;-71;-3;-123;-71;-6;
-123;-71;-6;-123;-71;-3;
261;-336;0;261;-336;1;
261;-336;1;261;-336;0;
262;-336;0;262;-336;1;
262;-336;1;262;-336;0;
263;-336;-3;263;-336;0;
263;-336;0;263;-336;-3;
153;-176;0;153;-176;-3;
153;-176;-3;153;-176;0;
162;-162;-3;162;-162;-6;
162;-162;-6;162;-162;-3;
170;-162;-6;170;-162;-9;
170;-162;-9;170;-162;-6;
-44;-232;2;-44;-232;3;
-44;-232;3;-44;-232;2;
-44;-233;3;-44;-233;4;
-44;-233;4;-44;-233;3;
-49;-240;4;-49;-240;5;
-49;-240;5;-49;-240;4;
-453;243;0;-453;243;1;
-453;243;1;-453;243;0;
-468;240;1;-468;240;2;
-468;240;2;-468;240;1;
390;144;0;390;144;1;
390;144;1;390;144;0;
159;-443;0;159;-443;-1;
159;-443;-1;159;-443;0;
-55;-109;0;-55;-109;1;
-55;-109;1;-55;-109;0;
-55;-106;1;-55;-106;2;
-55;-106;2;-55;-106;1;
361;177;-10;361;177;-13;
361;177;-13;361;177;-10;
-98;-146;0;-98;-146;-3;
-98;-146;-3;-98;-146;0;
-98;-142;1;-98;-142;2;
-98;-142;2;-98;-142;1;
-105;-141;0;-105;-141;1;
-105;-141;1;-105;-141;0;
32;15;70;32;15;71;
32;15;71;32;15;70;
68;32;70;68;32;71;
68;32;71;68;32;70;
69;42;70;69;42;71;
69;42;71;69;42;70;
63;44;70;63;44;71;
63;44;71;63;44;70;
52;36;70;52;36;71;
52;36;71;52;36;70;
97;29;70;97;29;73;
97;29;73;97;29;70;
159;-445;0;159;-445;1;
159;-445;1;159;-445;0;
169;-460;1;169;-460;2;
169;-460;2;169;-460;1;
-98;-128;0;-97;-128;1;
-98;-128;1;-98;-128;0;
-281;53;0;167;184;0;
-281;54;0;167;184;0;
164;185;0;-284;54;0;
-286;53;0;299;229;0;
-286;54;0;299;229;0;
300;225;0;-284;54;0;
299;225;0;-284;54;0;
299;233;0;167;185;0;
300;233;0;167;185;0;
170;185;0;299;233;0;
-75;-219;0;-75;-219;1;
-75;-219;1;-75;-219;0;
-52;-240;0;-52;-240;1;
-52;-240;1;-52;-240;0;
-54;-240;0;-54;-240;1;
-54;-240;1;-54;-240;0;
-45;-224;1;-45;-224;2;
-45;-224;2;-46;-224;1;
-56;-231;0;-58;-227;-3;
-58;-228;-3;-56;-231;0;
368;216;0;366;216;-3;
366;215;-3;369;216;0;
374;209;0;374;210;1;
374;209;1;374;210;0;
374;224;1;374;223;2;
374;224;2;374;225;1;
78;40;50;-6;18;-57;
-6;18;-57;77;40;50;
2;15;-57;2;15;-60;
2;15;-60;2;15;-57;
68;26;50;-8;1;-57;
-8;1;-57;68;26;50;
150;-403;-3;150;-402;-6;
276;-301;1;276;-301;0;
276;-301;0;276;-301;1;
150;-403;-6;151;-403;-3;
-81;-352;0;-81;-351;-3;
-81;-352;-3;-81;-353;0;
132;-267;0;132;-268;-3;
132;-267;-3;132;-268;0;
344;-363;0;344;-362;-3;
344;-363;-3;344;-364;0;
-44;-282;0;-44;-281;-3;
-44;-282;-3;-45;-283;0;
-56;-283;-3;-56;-282;-6;
-56;-283;-6;-55;-283;-3;
-21;-273;-9;-20;-273;-6;
-21;-273;-6;-21;-272;-9;
-68;-296;-6;-68;-297;-9;
-68;-296;-9;-67;-296;-6;
-12;-126;0;-12;-125;-3;
