30;6;0;504;0
30;6;0;501;0
31;6;0;501;0
31;6;0;504;0
32;6;0;503;0
32;6;0;504;0
32;6;0;502;0
24;7;0;504;0
24;7;0;501;0
25;7;0;501;0
25;7;0;504;0
26;7;0;504;0
26;7;0;501;0
27;7;0;432;0
28;7;0;432;0
30;7;0;501;0
31;7;0;503;0
32;7;0;502;0
32;7;0;500;0
24;8;0;501;0
25;8;0;501;0
26;8;0;501;0
30;8;0;503;0
31;8;0;500;0
32;8;0;502;0
32;8;0;500;0
24;9;0;501;0
25;9;0;501;0
26;9;0;501;0
24;10;0;503;0
25;10;0;500;0
25;10;0;501;0
26;10;0;501;0
32;10;0;433;0
25;11;0;501;0
26;11;0;501;0
32;11;0;433;0
25;12;0;501;0
26;12;0;501;0
32;12;0;433;0
25;13;0;501;0
26;13;0;501;0
32;13;0;433;0
25;14;0;501;0
26;14;0;503;0
27;14;0;500;0
28;14;0;500;0
29;14;0;500;0
30;14;0;500;0
31;14;0;500;0
32;14;0;500;0
32;14;0;502;0
23;15;0;504;0
23;15;0;501;0
24;15;0;504;0
24;15;0;501;0
25;15;0;503;0
26;15;0;500;0
27;15;0;500;0
27;15;0;500;0
28;15;0;500;0
28;15;0;500;0
29;15;0;500;0
29;15;0;500;0
30;15;0;500;0
30;15;0;500;0
31;15;0;500;0
31;15;0;500;0
32;15;0;502;0
32;15;0;500;0
32;15;0;500;0
23;16;0;501;0
24;16;0;503;0
25;16;0;500;0
26;16;0;500;0
27;16;0;502;0
27;16;0;500;0
23;17;0;503;0
24;17;0;500;0
25;17;0;500;0
26;17;0;500;0
27;17;0;502;0
27;17;0;500;0
