12;5;627;333
13;5;626;333
10;6;627;333
11;6;626;333
12;6;629;333
13;6;628;333
14;6;623;333
15;6;287;333
16;6;287;333
17;6;287;333
18;6;287;333
19;6;287;333
20;6;287;333
21;6;287;333
22;6;287;333
23;6;287;333
24;6;287;333
25;6;287;333
26;6;287;333
27;6;287;333
10;7;623;333
11;7;287;333
12;7;287;333
13;7;287;333
14;7;287;333
15;7;287;333
16;7;287;333
17;7;287;333
18;7;287;333
18;7;287;333
19;7;287;333
19;7;287;333
20;7;287;333
20;7;287;333
21;7;287;333
21;7;287;333
22;7;287;333
22;7;287;333
23;7;287;333
24;7;287;333
25;7;287;333
26;7;287;333
27;7;287;333
28;7;287;333
29;7;287;333
30;7;287;333
31;7;287;333
32;7;287;333
33;7;287;333
9;8;627;333
10;8;623;333
11;8;287;333
12;8;287;333
13;8;287;333
14;8;287;333
15;8;287;333
16;8;287;333
17;8;287;333
18;8;287;333
19;8;287;333
20;8;287;333
21;8;287;333
22;8;287;333
23;8;287;333
24;8;287;333
25;8;287;333
26;8;287;333
27;8;287;333
28;8;287;333
29;8;287;333
30;8;287;333
31;8;287;333
32;8;287;333
33;8;287;333
9;9;627;333
10;9;626;333
11;9;287;333
12;9;287;333
13;9;622;333
14;9;622;333
15;9;622;333
16;9;622;333
17;9;622;333
18;9;28;333
19;9;630;333
20;9;287;333
21;9;622;333
22;9;622;333
23;9;622;333
24;9;630;333
25;9;287;333
26;9;287;333
27;9;287;333
28;9;287;333
29;9;287;333
30;9;287;333
31;9;287;333
32;9;287;333
33;9;287;333
34;9;287;333
35;9;287;333
36;9;287;333
37;9;287;333
38;9;287;333
39;9;287;333
9;10;627;333
10;10;287;333
11;10;287;333
12;10;287;333
13;10;626;333
14;10;3098;333
16;10;3095;333
19;10;629;333
20;10;622;333
21;10;628;333
22;10;3099;333
23;10;914;333
24;10;629;333
25;10;622;333
26;10;622;333
27;10;622;333
28;10;630;333
29;10;287;333
30;10;287;333
31;10;287;333
32;10;287;333
33;10;287;333
34;10;287;333
35;10;287;333
36;10;287;333
37;10;287;333
38;10;287;333
39;10;287;333
40;10;287;333
41;10;287;333
42;10;287;333
43;10;287;333
44;10;287;333
6;11;627;333
7;11;626;333
8;11;627;333
9;11;629;333
10;11;287;333
11;11;287;333
12;11;287;333
13;11;626;333
16;11;2937;333
19;11;1266;333
26;11;3095;333
27;11;3097;333
28;11;629;333
29;11;622;333
30;11;630;333
31;11;287;333
32;11;287;333
33;11;622;333
34;11;622;333
35;11;630;333
36;11;287;333
37;11;287;333
38;11;287;333
39;11;287;333
40;11;287;333
41;11;287;333
42;11;287;333
43;11;287;333
44;11;287;333
6;12;627;333
7;12;626;333
8;12;627;333
9;12;626;333
10;12;287;333
11;12;287;333
12;12;287;333
13;12;626;333
15;12;1266;333
26;12;1266;333
29;12;3095;333
30;12;623;333
31;12;287;333
32;12;287;333
33;12;626;333
34;12;915;333
35;12;629;333
36;12;622;333
37;12;622;333
38;12;630;333
39;12;287;333
40;12;287;333
41;12;287;333
42;12;287;333
43;12;287;333
44;12;287;333
5;13;627;333
6;13;629;333
